cell_id,row,col,lat,lon,elevation,slope_deg,aspect_deg,curvature,roughness
cell_0_0,0,0,1678000.0,674000.0,200.91102600097656,1.6423797954444939,294.71295655179074,-0.012287902832031251,0.14745470234514554
cell_0_1,0,1,1678000.0,674010.0,200.79115295410156,3.904996516728707,332.36780128330014,-0.00021308898925781234,0.4656864701951486
cell_0_2,0,2,1678000.0,674020.0,199.70152282714844,3.2485809750777936,42.58898170806132,0.0002989196777343746,0.5904438974509907
cell_0_3,0,3,1678000.0,674030.0,199.9553985595703,7.207739646515633,247.80140666224952,0.011789779663085937,0.528931993095997
cell_0_4,0,4,1678000.0,674040.0,200.6571502685547,4.633245140481803,314.8207391160799,-0.0009500503540039061,0.764341061539521
cell_0_5,0,5,1678000.0,674050.0,198.81288146972656,10.688146152901481,73.90523793994099,-0.006858863830566404,0.8547610211133434
cell_0_6,0,6,1678000.0,674060.0,199.61068725585938,10.914418849068747,103.59056345043098,-0.010171661376953125,0.8159748726765387
cell_0_7,0,7,1678000.0,674070.0,199.7191162109375,5.357758940984259,123.56505922094456,-0.004697952270507812,0.6074831965354026
cell_0_8,0,8,1678000.0,674080.0,200.64772033691406,4.304312571376117,233.76967322415555,0.002125511169433593,0.36919301313068714
cell_0_9,0,9,1678000.0,674090.0,200.6088104248047,2.597503538465523,292.9981785771599,-0.005387458801269531,0.24423601192100045
cell_0_10,0,10,1678000.0,674100.0,200.29322814941406,3.479745335033774,57.13260297027683,-0.002053222656249999,0.28915911561183194
cell_0_11,0,11,1678000.0,674110.0,199.9488067626953,3.751176700723352,168.74001613783642,0.002063751220703125,0.6174610283962575
cell_0_12,0,12,1678000.0,674120.0,201.5792694091797,8.337192889543829,262.4746619070641,0.0011321258544921874,0.6134194099748639
cell_0_13,0,13,1678000.0,674130.0,200.33265686035156,3.9166308148791713,40.98855809370642,-0.005009193420410157,0.5207042394034551
cell_0_14,0,14,1678000.0,674140.0,200.54566955566406,4.260701276661518,107.78645008360225,-0.004523277282714844,0.4451966340623126
cell_0_15,0,15,1678000.0,674150.0,200.78781127929688,7.986492950495405,296.9610520928245,0.010589942932128907,0.6816349337015114
cell_0_16,0,16,1678000.0,674160.0,199.27346801757812,5.975575114279348,81.48777788903995,-0.0011477279663085942,0.5768316366441766
cell_0_17,0,17,1678000.0,674170.0,200.47793579101562,2.3573132733052593,202.12518899279902,0.007528152465820313,0.4406739396071359
cell_0_18,0,18,1678000.0,674180.0,200.03616333007812,1.3762758924989738,245.22536774199253,-0.0032500457763671876,0.2906624411433962
cell_0_19,0,19,1678000.0,674190.0,200.67929077148438,3.2832129075618055,269.38428420518056,0.004586029052734376,0.2817399224396077
cell_0_20,0,20,1678000.0,674200.0,200.04849243164062,1.2279109854335355,19.60361443493512,0.005388755798339843,0.3983563318274729
cell_0_21,0,21,1678000.0,674210.0,200.27545166015625,6.793923395064152,239.65513693171084,0.005603408813476563,0.5868473332896876
cell_0_22,0,22,1678000.0,674220.0,201.2522430419922,4.573340368008416,279.6783018133583,-0.008357162475585937,0.5874966611084208
cell_0_23,0,23,1678000.0,674230.0,200.00650024414062,2.6411876064317603,38.80395199887035,-0.0005608749389648439,0.4581787417943159
cell_0_24,0,24,1678000.0,674240.0,200.53326416015625,3.0961493473990247,101.93931164703667,0.0008010864257812509,0.3220574640375075
cell_0_25,0,25,1678000.0,674250.0,200.2303009033203,3.746512685945001,136.07960628775703,-0.009121131896972657,0.47647513035234496
cell_0_26,0,26,1678000.0,674260.0,201.4766082763672,7.051670939918288,271.30691478235474,0.002040824890136718,0.5067591322122683
cell_0_27,0,27,1678000.0,674270.0,200.1738739013672,3.7391055180294104,45.56473777233698,-0.006447601318359374,0.6156512195598145
cell_0_28,0,28,1678000.0,674280.0,200.56153869628906,8.005023809291517,75.3251962554019,-0.019807052612304688,0.704494638231327
cell_0_29,0,29,1678000.0,674290.0,199.4613494873047,2.8916445822719727,63.968273851092015,0.007137451171875,0.7137441926398971
cell_0_30,0,30,1678000.0,674300.0,200.11817932128906,2.8553954930835377,222.19775624868512,0.009867858886718749,0.27424317869956555
cell_0_31,0,31,1678000.0,674310.0,200.2003631591797,2.235382969380141,243.9658210983132,-0.00039485931396484415,0.5590560875601235
cell_0_32,0,32,1678000.0,674320.0,200.46083068847656,7.793153003273363,75.85003722972189,-0.012570228576660156,0.6396531892313649
cell_0_33,0,33,1678000.0,674330.0,199.53121948242188,3.137163098901272,100.84365543461399,0.007896995544433594,0.6418830847090942
cell_0_34,0,34,1678000.0,674340.0,200.66705322265625,3.462407612461391,220.3028818250096,-0.0002421951293945307,0.41743747472444886
cell_0_35,0,35,1678000.0,674350.0,200.45407104492188,0.36573473871677453,98.81384589035392,-0.008525123596191408,0.3594448011382481
cell_0_36,0,36,1678000.0,674360.0,200.68661499023438,7.220623132343225,288.98780300113253,0.013245277404785157,0.45469600419238837
cell_0_37,0,37,1678000.0,674370.0,199.62962341308594,3.9972104327565727,130.80329085177007,0.004645004272460937,0.8227481020573064
cell_0_38,0,38,1678000.0,674380.0,201.59986877441406,3.0540518794988354,192.29864295821045,-0.01082050323486328,0.7338232960603593
cell_0_39,0,39,1678000.0,674390.0,200.67221069335938,2.566112908680518,23.462164147904282,-0.010657958984375,0.4327584779625881
cell_0_40,0,40,1678000.0,674400.0,200.7776336669922,3.669005838501044,320.47120320215225,0.010281105041503907,0.45139669222841944
cell_0_41,0,41,1678000.0,674410.0,199.6830291748047,6.937851195460843,99.29282516115117,-0.00429473876953125,0.5403356781375359
cell_0_42,0,42,1678000.0,674420.0,201.17062377929688,2.2649022325932275,220.62622988022554,-0.0058145904541015625,0.5423530885345519
cell_0_43,0,43,1678000.0,674430.0,200.28338623046875,3.0049292070219953,20.21930749464085,-0.003232307434082031,0.38332556619443936
cell_0_44,0,44,1678000.0,674440.0,200.18544006347656,2.978093338110404,94.20331133915289,0.0007849502563476562,0.3733995180352863
cell_0_45,0,45,1678000.0,674450.0,200.35964965820312,7.190870252801225,120.95151620585634,-0.008206329345703124,0.5299070465034555
cell_0_46,0,46,1678000.0,674460.0,201.4832305908203,5.260542474980782,280.7335730933223,-0.004769515991210938,0.5922162094596433
cell_0_47,0,47,1678000.0,674470.0,200.01669311523438,1.2857314521680336,88.51961703853839,-0.0016666030883789062,0.6352723335504353
cell_0_48,0,48,1678000.0,674480.0,201.4716339111328,6.517842097683446,278.9693048563784,0.004097785949707031,0.641812200197507
cell_0_49,0,49,1678000.0,674490.0,199.6604461669922,5.850233152199431,50.282810738496885,0.005466270446777344,0.6335900227469405
cell_0_50,0,50,1678000.0,674500.0,200.16217041015625,5.226312138819824,138.3202648975152,0.0035186767578125008,0.6457996250656722
cell_0_51,0,51,1678000.0,674510.0,201.0267791748047,11.748905173810284,255.85089555429659,0.013459129333496096,0.6638699945967406
cell_0_52,0,52,1678000.0,674520.0,201.17897033691406,3.290082489634447,264.7175186025464,0.0017278289794921875,0.6679929607217981
cell_0_53,0,53,1678000.0,674530.0,201.13262939453125,4.655056687367123,252.4640043946121,0.0038097000122070315,0.4681834500203377
cell_0_54,0,54,1678000.0,674540.0,201.66964721679688,7.587174837634723,260.7612543627625,-0.0023399353027343736,0.4868112655490189
cell_0_55,0,55,1678000.0,674550.0,201.56033325195312,4.702409792175923,333.5601949102149,-0.007607078552246094,0.7039949810344657
cell_0_56,0,56,1678000.0,674560.0,200.1965789794922,2.0033629251928438,296.3012618614282,0.003620834350585937,0.5996398206640681
cell_0_57,0,57,1678000.0,674570.0,201.25035095214844,3.6276600265129963,312.42734648758847,0.001164665222167969,0.6851484940470469
cell_0_58,0,58,1678000.0,674580.0,199.34112548828125,8.267386847045149,68.98508172495856,-0.002483901977539063,0.6663823448552018
cell_0_59,0,59,1678000.0,674590.0,200.2082061767578,2.8326440912805384,153.9015641349276,0.0028540802001953123,0.4834472236556749
cell_0_60,0,60,1678000.0,674600.0,200.2298126220703,5.475179166478166,241.5362193289071,0.014501457214355468,0.5024346627310792
cell_0_61,0,61,1678000.0,674610.0,201.1218719482422,2.9292857467807294,242.52641724679643,-0.0033050155639648433,0.5072725148400411
cell_0_62,0,62,1678000.0,674620.0,200.7019500732422,4.466221874353697,4.35376500671082,-0.0018975067138671873,0.6512419827741223
cell_0_63,0,63,1678000.0,674630.0,199.564208984375,1.2346624317711836,311.754139866747,0.012104530334472657,0.5757458487076207
cell_0_64,0,64,1678000.0,674640.0,200.41490173339844,3.910690354756529,115.3736107662142,-0.002510948181152344,0.6721730660921227
cell_0_65,0,65,1678000.0,674650.0,200.15008544921875,8.17489738299443,100.54753932510661,-0.009053459167480469,0.4394851987879085
cell_0_66,0,66,1678000.0,674660.0,200.94082641601562,2.366034204883502,210.87793639558154,0.003893203735351562,0.4081632746475353
cell_0_67,0,67,1678000.0,674670.0,200.8593292236328,1.4988811553070531,263.20652276993405,0.0028920364379882812,0.1255649717910221
cell_0_68,0,68,1678000.0,674680.0,201.0027313232422,2.282271021728004,209.72066533758752,-0.005396308898925782,0.3329630393216551
cell_0_69,0,69,1678000.0,674690.0,201.5515594482422,6.904809610199726,308.7581252983482,0.004739837646484375,0.7161646493252514
cell_0_70,0,70,1678000.0,674700.0,199.4864959716797,7.6846583413460055,93.77106161073308,0.009025001525878908,0.8378077655993473
cell_0_71,0,71,1678000.0,674710.0,201.7290496826172,7.318725834246748,229.84676423951214,0.00345306396484375,0.8484145030944309
cell_0_72,0,72,1678000.0,674720.0,201.14288330078125,5.439719462142393,50.823442393547836,-0.014724426269531249,0.6063726160334045
cell_0_73,0,73,1678000.0,674730.0,200.5259246826172,3.093411374188623,246.290218698714,0.007472496032714843,0.5672746290359459
cell_0_74,0,74,1678000.0,674740.0,201.57749938964844,4.484843001623178,286.99017186222136,0.000915565490722656,0.5640397263002136
cell_0_75,0,75,1678000.0,674750.0,200.06753540039062,2.4994368233258815,89.47925286713021,0.005855064392089845,0.6077488514576803
cell_0_76,0,76,1678000.0,674760.0,201.56956481933594,4.549444543287811,232.30184717747315,0.001415977478027344,0.5400582314063691
cell_0_77,0,77,1678000.0,674770.0,201.04067993164062,3.700779632953417,21.717074456887893,-0.0023205566406249998,0.41489526624861
cell_0_78,0,78,1678000.0,674780.0,200.36776733398438,4.671974716340037,79.12017013816696,-0.0042745208740234365,0.3087781791257137
cell_0_79,0,79,1678000.0,674790.0,200.732177734375,3.4891077489810565,18.019826780898192,0.0005077362060546878,0.6764333629728854
cell_0_80,0,80,1678000.0,674800.0,199.20814514160156,9.488722147622651,76.88051226637751,-0.0012045669555664053,0.6373735721769554
cell_0_81,0,81,1678000.0,674810.0,199.97341918945312,4.102104878866402,129.59595351230482,0.0034102249145507814,0.7293373760325367
cell_0_82,0,82,1678000.0,674820.0,200.1223602294922,8.935382965230074,97.22129725465913,-0.018405990600585936,0.4936929928124375
cell_0_83,0,83,1678000.0,674830.0,200.3686981201172,1.1236161532458357,49.7332782704032,-0.0023434066772460935,0.5197056016820615
cell_0_84,0,84,1678000.0,674840.0,199.8688201904297,5.258102480272728,124.24285122665191,0.002236175537109375,0.5572977148857118
cell_0_85,0,85,1678000.0,674850.0,201.40440368652344,4.51671026473211,197.4749111003915,0.0006996154785156249,0.613670251903388
cell_0_86,0,86,1678000.0,674860.0,201.3758087158203,5.2020070653753505,270.2525549722229,0.008008193969726563,0.3505481552325184
cell_0_87,0,87,1678000.0,674870.0,201.39637756347656,2.8125185889407387,85.01083441377804,-0.009705810546875,0.3909160961290239
cell_0_88,0,88,1678000.0,674880.0,201.2903594970703,4.368340208322289,312.0051618744346,0.001264266967773437,0.5925213434425984
cell_0_89,0,89,1678000.0,674890.0,200.3739776611328,3.5405584415879208,320.4184026546737,0.01640155792236328,0.48086342425702155
